layer,exact,f1,exact_no_ans,f1_no_ans,exact_has_ans,f1_has_ans
1,52.122408687068116,52.122408687068116,100.0,100.0,0.0,0.0
2,51.711089174070416,51.79280465065263,97.06439393939394,97.06439393939394,2.336769759450172,2.5074455899198167
3,49.72030273116157,50.59066383690693,82.26010101010101,82.26010101010101,14.29553264604811,16.113420893718367
4,48.864758144126355,50.941888142509335,67.86616161616162,67.86616161616162,28.1786941580756,32.517112072224066
5,52.64889766370516,55.04105098718,63.03661616161616,63.03661616161616,41.34020618556701,46.336600652948704
6,56.959526159921026,59.71026448830516,63.446969696969695,63.446969696969695,49.896907216494846,55.64226376629527
7,62.93188548864758,65.90322925697365,65.15151515151516,65.15151515151516,60.51546391752577,66.72159018002962
8,67.9993418887792,71.2534654990549,69.79166666666667,69.79166666666667,66.04810996563575,72.84486711452107
9,72.77064823955249,76.0189584379505,74.68434343434343,74.68434343434343,70.6872852233677,77.47190013259926
10,75.534715366897,78.89672172937635,78.37752525252525,78.37752525252525,72.43986254295532,79.46195005881441
11,76.78512668641001,80.40303898490386,80.3030303030303,80.3030303030303,72.9553264604811,80.51191441589205
12,77.1964461994077,80.80550464748065,81.50252525252525,81.50252525252525,72.5085910652921,80.0466863393086
