layer,exact,f1,exact_no_ans,f1_no_ans,exact_has_ans,f1_has_ans
1,52.122408687068116,52.122408687068116,100.0,100.0,0.0,0.0
2,52.122408687068116,52.122408687068116,100.0,100.0,0.0,0.0
3,52.02369200394867,52.03972291830139,99.43181818181819,99.43181818181819,0.41237113402061853,0.44585426028725
4,51.62882527147088,51.83820840780366,96.71717171717172,96.71717171717172,2.542955326460481,2.9802854648215473
5,51.41493912471208,51.78664499370321,93.18181818181819,93.18181818181819,5.945017182130584,6.721384285817277
6,50.85554458703521,51.40779483943353,89.61489898989899,89.61489898989899,8.65979381443299,9.813256712741252
7,51.250411319513,51.95200046014456,88.51010101010101,88.51010101010101,10.687285223367697,12.15266625318172
8,51.54656136887134,52.31809565413884,88.06818181818181,88.06818181818181,11.786941580756015,13.39841422194364
9,52.13886146758802,52.8166795024846,88.51010101010101,88.51010101010101,12.542955326460481,13.958686603471326
10,52.64889766370516,53.297850220736315,89.20454545454545,89.20454545454545,12.852233676975946,14.207674790940013
11,53.093122737742675,53.763061323525264,90.3409090909091,90.3409090909091,12.542955326460481,13.942229114909532
12,51.49720302731161,52.06238693321095,92.67676767676768,92.67676767676768,6.666666666666667,7.847143567029623
