layer,exact,f1,exact_no_ans,f1_no_ans,exact_has_ans,f1_has_ans
1,52.122408687068116,52.122408687068116,100.0,100.0,0.0,0.0
2,52.122408687068116,52.122408687068116,100.0,100.0,0.0,0.0
3,50.658111220796314,51.02108989593744,95.61237373737374,95.61237373737374,1.7182130584192439,2.4763520231985967
4,49.473511023362946,50.32426633633008,83.71212121212122,83.71212121212122,12.199312714776632,13.97625113134513
5,46.41329384666009,49.78373694610066,65.625,65.625,25.49828178694158,32.537990776082395
6,45.32741033234617,48.94312948832846,56.0290404040404,56.0290404040404,33.67697594501718,41.228983171842174
7,52.500822639026,56.72501474793311,59.84848484848485,59.84848484848485,44.50171821305842,53.32461843228116
8,54.63968410661402,59.029338109944746,57.73358585858586,57.73358585858586,51.27147766323024,60.43997148874398
9,57.86442908851596,62.36272032137625,60.29040404040404,60.29040404040404,55.223367697594504,64.61876773653806
10,64.0177690029615,68.34877803466163,64.45707070707071,64.45707070707071,63.539518900343644,72.58552333150328
11,68.34485027969727,72.8185495349698,70.61237373737374,70.61237373737374,65.87628865979381,75.22032442389943
12,68.4271141822968,73.0342909610598,70.77020202020202,70.77020202020202,65.87628865979381,75.49911356059177
