layer,exact,f1,exact_no_ans,f1_no_ans,exact_has_ans,f1_has_ans
1,52.122408687068116,52.122408687068116,100.0,100.0,0.0,0.0
2,52.122408687068116,52.122408687068116,100.0,100.0,0.0,0.0
3,52.122408687068116,52.122408687068116,100.0,100.0,0.0,0.0
4,52.122408687068116,52.122408687068116,100.0,100.0,0.0,0.0
5,52.0895031260283,52.100471646374906,99.87373737373737,99.87373737373737,0.06872852233676977,0.09163802978235967
6,52.07305034550839,52.100471646374906,99.7790404040404,99.7790404040404,0.13745704467353953,0.1947308132875143
7,51.85916419874959,51.89481188987606,99.30555555555556,99.30555555555556,0.20618556701030927,0.2806414662084765
8,51.43139190523198,51.49352895651019,98.01136363636364,98.01136363636364,0.7216494845360825,0.8514326452470783
9,51.201052977953275,51.362110796957786,96.875,96.875,1.47766323024055,1.8140582212747154
10,50.82263902599539,51.01022058450488,96.30681818181819,96.30681818181819,1.3058419243986255,1.6976359837184576
11,50.526488976637054,50.646222995680056,95.39141414141415,95.39141414141415,1.6838487972508591,1.9339324287777895
12,50.69101678183613,50.78527983876104,96.68560606060606,96.68560606060606,0.6185567010309279,0.815440158072056
